employee_id,age,gender,marital_status,department,job_role,education,education_field,distance_from_km,business_travel,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,performance_rating,overtime,num_companies_worked,years_at_company,years_in_current_role,years_since_last_promotion,total_working_years,monthly_income,salary_slab,attrition,attrition_label,over_time_bin
747,27,Male,Divorced,Marketing,Junior Associate,Masters,Business Management,33,Travel Frequently,2,3,2,2,2,No,4,28,4,7,3,112890.38,Low,No,Staying,No
748,59,Female,Divorced,Sales,Manager,Bachelors,Other,40,Non-Travel,1,4,4,4,3,No,0,27,8,5,2,78138.3,Medium,No,Staying,No
749,59,Other,Divorced,R&D,Lead,Bachelors,Medical,9,Non-Travel,2,3,3,1,2,No,7,10,3,3,15,30800.87,High,Yes,Leaving,No
750,36,Female,Divorced,Finance,Specialist,High School,Marketing,48,Non-Travel,4,4,1,4,4,No,0,10,7,1,2,58712.55,Low,Yes,Leaving,Yes
751,52,Female,Married,Legal,Director,Associate,Other,32,Non-Travel,1,3,2,3,4,Yes,2,19,9,4,31,59444.52,Low,No,Staying,No
752,31,Male,Married,Technology,VP,PhD,Medical,28,Travel Rarely,3,2,3,4,4,No,5,2,2,1,1,85643.69,Very High,No,Staying,No
753,37,Female,Divorced,Finance,Specialist,PhD,Business Management,78,Non-Travel,4,3,3,3,2,No,4,21,0,7,22,71063.31,Very High,No,Staying,Yes
754,45,Female,Single,Operations,Associate,Bachelors,Technical Degree,60,Non-Travel,3,4,2,4,3,No,5,28,4,7,18,112762.21,Very High,No,Staying,No
755,54,Male,Single,Human Resources,Analyst,High School,Life Sciences,8,Travel Frequently,1,3,3,2,3,Yes,2,27,2,1,8,38451.89,High,No,Staying,Yes
756,50,Male,Single,Marketing,VP,PhD,Other,33,Travel Frequently,4,2,3,2,4,No,7,27,10,3,30,45125.63,Low,No,Staying,Yes
757,60,Female,Single,Operations,Lead,Associate,Other,26,Travel Frequently,2,4,1,3,3,No,7,21,1,0,16,109373.87,Low,No,Staying,No
758,48,Other,Single,Technology,Junior Associate,High School,Human Resources,40,Travel Rarely,1,3,4,4,1,No,5,25,7,3,0,117583.3,Very High,No,Staying,No
759,55,Female,Married,Sales,Director,Masters,Life Sciences,58,Travel Frequently,4,3,4,2,3,Yes,7,27,8,0,8,142585.46,Low,No,Staying,No
760,28,Female,Single,Technology,Senior Analyst,Bachelors,Medical,34,Travel Rarely,3,4,2,1,3,No,5,16,11,6,38,112133.76,Very High,No,Staying,No
761,57,Male,Married,Human Resources,Manager,PhD,Medical,35,Non-Travel,2,3,1,1,1,No,1,30,7,0,8,127100.86,Low,Yes,Leaving,No
762,38,Female,Single,R&D,Executive,Masters,Technical Degree,53,Non-Travel,3,1,1,1,1,No,1,25,15,2,7,68991.03,Very High,No,Staying,No
763,30,Other,Married,R&D,VP,Masters,Technical Degree,72,Non-Travel,3,4,2,3,1,Yes,5,21,15,6,9,129718.56,Low,No,Staying,Yes
764,35,Female,Single,Sales,Lead,Masters,Human Resources,15,Travel Frequently,1,3,3,2,1,Yes,7,7,7,7,27,55221.22,High,No,Staying,No
765,42,Female,Divorced,Marketing,Junior Associate,Associate,Business Management,22,Travel Frequently,2,2,2,2,1,Yes,3,4,4,0,38,116951.88,Medium,No,Staying,No
766,26,Male,Single,Marketing,Associate,High School,Human Resources,80,Travel Rarely,4,4,2,3,3,No,2,14,11,8,16,84776.46,High,No,Staying,No
767,26,Male,Single,Human Resources,VP,Masters,Marketing,52,Non-Travel,1,4,2,2,4,No,8,29,8,7,22,93859.19,Low,Yes,Leaving,No
768,25,Male,Married,Sales,Director,Associate,Business Management,49,Travel Frequently,3,1,1,1,3,No,8,10,10,6,34,121907.59,Very High,No,Staying,No
769,59,Female,Married,Sales,Director,PhD,Medical,28,Travel Rarely,1,4,4,4,4,Yes,0,17,11,0,5,134936.13,High,No,Staying,No
770,28,Other,Single,Technology,Associate,Bachelors,Human Resources,27,Travel Frequently,1,4,3,2,3,No,0,6,2,1,6,42436.23,Very High,No,Staying,Yes
771,35,Male,Married,Operations,Associate,PhD,Human Resources,73,Travel Frequently,1,1,4,1,4,Yes,5,20,1,0,24,107108.59,Medium,No,Staying,Yes
772,26,Female,Divorced,Marketing,Director,Bachelors,Business Management,66,Travel Rarely,1,2,2,2,1,Yes,2,14,8,2,14,99618.4,Very High,Yes,Leaving,No
773,48,Other,Divorced,Marketing,Senior Analyst,Bachelors,Medical,56,Travel Rarely,1,3,4,2,3,Yes,4,16,14,2,39,76380.58,Medium,No,Staying,No
774,38,Female,Married,Technology,Manager,High School,Marketing,26,Travel Frequently,4,2,2,3,1,Yes,4,13,0,5,1,71958.27,High,No,Staying,No
775,36,Other,Divorced,R&D,Senior Analyst,Bachelors,Business Management,48,Non-Travel,2,1,3,4,3,No,5,24,14,5,37,56375.87,Medium,No,Staying,Yes
776,30,Female,Married,Technology,Associate,High School,Technical Degree,65,Non-Travel,1,2,1,4,3,Yes,7,17,4,3,5,121166.76,Medium,No,Staying,No
777,42,Female,Single,Human Resources,VP,Bachelors,Life Sciences,73,Non-Travel,4,1,1,1,2,Yes,2,11,3,4,13,92775.11,Very High,No,Staying,No
778,39,Other,Married,Finance,Associate,Masters,Technical Degree,49,Travel Frequently,4,3,2,4,3,No,3,14,5,0,34,115102.31,Low,No,Staying,No
779,51,Male,Single,Marketing,Director,Masters,Life Sciences,29,Travel Frequently,1,1,3,2,1,No,2,10,4,2,21,62991.25,High,No,Staying,No
780,55,Female,Married,Sales,Specialist,Masters,Life Sciences,33,Travel Rarely,1,1,3,2,1,Yes,7,13,6,7,30,80577.96,High,No,Staying,No
781,57,Female,Married,Legal,Lead,High School,Human Resources,30,Travel Rarely,3,4,3,3,1,No,6,23,6,5,12,90055.4,High,No,Staying,No
782,41,Other,Single,Marketing,Junior Associate,Bachelors,Other,20,Travel Rarely,1,1,1,1,4,No,2,29,15,6,12,98088.82,High,No,Staying,No
783,40,Female,Single,Finance,Junior Associate,Associate,Life Sciences,57,Travel Frequently,2,3,4,2,3,No,6,1,1,1,38,99073.58,Low,No,Staying,No
784,53,Other,Divorced,Marketing,Senior Analyst,Bachelors,Medical,11,Travel Rarely,1,3,1,2,4,Yes,4,28,7,8,10,68020.37,High,Yes,Leaving,Yes
785,47,Other,Single,Legal,Lead,Associate,Life Sciences,2,Travel Rarely,4,2,2,4,1,Yes,2,19,2,1,40,79927.96,High,No,Staying,Yes
786,27,Other,Single,Sales,Lead,Masters,Technical Degree,71,Non-Travel,4,4,2,4,2,Yes,1,17,15,0,31,71159.84,Medium,Yes,Leaving,No
787,29,Female,Married,Sales,Manager,Associate,Other,73,Travel Frequently,3,2,2,4,1,Yes,5,2,2,1,19,56399.56,Low,No,Staying,Yes
788,24,Female,Married,Marketing,Senior Analyst,PhD,Marketing,19,Travel Frequently,3,1,1,2,3,No,3,10,10,4,18,73273.14,Medium,Yes,Leaving,Yes
789,40,Female,Married,Sales,Associate,PhD,Business Management,55,Travel Frequently,3,2,3,2,1,No,6,5,5,5,34,88840.53,Low,No,Staying,No
790,53,Female,Married,Marketing,Analyst,PhD,Human Resources,14,Non-Travel,4,3,4,3,2,No,6,28,7,3,30,83762.74,High,No,Staying,Yes
791,40,Male,Married,Legal,Director,PhD,Medical,72,Travel Frequently,2,2,3,1,3,Yes,5,19,3,1,32,111877.17,Medium,No,Staying,Yes
792,24,Other,Married,Marketing,Manager,High School,Medical,64,Travel Frequently,4,3,1,4,4,Yes,5,27,10,8,18,63506.2,Medium,No,Staying,No
793,58,Other,Divorced,R&D,Senior Analyst,High School,Medical,1,Non-Travel,2,1,2,2,3,No,6,9,4,7,8,31518.0,Very High,Yes,Leaving,Yes
794,37,Other,Married,Operations,Analyst,Bachelors,Marketing,75,Travel Rarely,2,2,1,1,4,Yes,0,0,0,0,15,102051.61,Low,No,Staying,No
795,35,Female,Single,Marketing,Specialist,Masters,Technical Degree,41,Travel Rarely,2,1,1,3,1,Yes,0,5,1,2,38,73570.82,High,Yes,Leaving,Yes
796,36,Female,Divorced,R&D,Specialist,Associate,Other,17,Travel Rarely,3,2,4,2,3,No,3,1,1,1,29,37748.91,Low,No,Staying,No
797,30,Male,Single,Marketing,Analyst,Masters,Life Sciences,20,Travel Rarely,2,3,3,1,4,Yes,2,1,1,1,12,94778.68,Low,No,Staying,No
798,47,Male,Divorced,Operations,Senior Analyst,Associate,Other,33,Non-Travel,1,3,3,3,3,No,3,12,12,3,31,51368.6,Medium,No,Staying,No
799,29,Other,Single,Finance,Senior Analyst,Bachelors,Human Resources,20,Non-Travel,3,1,2,2,3,Yes,8,13,11,4,37,57381.44,Medium,No,Staying,No
800,25,Male,Divorced,Technology,Specialist,PhD,Human Resources,64,Travel Frequently,2,3,3,3,1,Yes,7,29,11,4,28,43356.61,Very High,No,Staying,No
801,32,Female,Divorced,Legal,Senior Analyst,Associate,Medical,38,Non-Travel,4,3,3,4,1,Yes,6,5,3,2,15,75381.95,Very High,No,Staying,Yes
802,29,Male,Divorced,Marketing,Lead,Associate,Business Management,66,Travel Rarely,1,3,2,2,2,Yes,0,11,11,1,17,133438.17,Very High,No,Staying,No
803,36,Female,Single,Human Resources,VP,Masters,Life Sciences,26,Travel Rarely,2,1,2,4,1,No,6,4,4,1,16,40776.17,High,No,Staying,No
804,42,Other,Divorced,Sales,Lead,Masters,Marketing,28,Travel Rarely,1,1,2,2,2,Yes,7,21,6,2,11,118161.98,Low,No,Staying,No
805,36,Other,Married,Finance,Manager,Bachelors,Other,36,Travel Frequently,2,1,3,2,1,Yes,8,4,4,4,8,42427.47,High,Yes,Leaving,No
806,36,Female,Married,Legal,Director,PhD,Medical,34,Travel Frequently,2,1,3,1,2,No,0,15,4,1,0,68039.69,Low,No,Staying,No
807,55,Male,Single,Finance,Lead,High School,Technical Degree,50,Non-Travel,1,3,4,1,3,No,3,21,14,3,0,141077.26,Very High,No,Staying,No
808,37,Male,Married,Sales,Executive,Associate,Business Management,75,Travel Rarely,4,3,4,1,2,Yes,1,25,13,3,2,72271.56,Medium,No,Staying,No
809,53,Female,Married,Finance,Director,Bachelors,Technical Degree,67,Travel Frequently,3,1,3,2,4,Yes,3,6,6,5,4,73806.84,Very High,Yes,Leaving,No
810,42,Male,Single,Marketing,VP,Associate,Technical Degree,50,Travel Frequently,4,1,4,3,3,No,7,18,12,0,27,35244.84,Very High,No,Staying,Yes
811,35,Other,Married,Operations,Junior Associate,Bachelors,Human Resources,38,Travel Frequently,1,3,1,4,3,No,6,17,14,6,28,117397.3,Low,No,Staying,No
812,39,Other,Divorced,Operations,Manager,Bachelors,Other,10,Travel Frequently,4,4,3,3,1,No,2,15,8,0,17,125089.26,High,Yes,Leaving,Yes
813,32,Male,Divorced,Human Resources,Analyst,Masters,Marketing,12,Non-Travel,3,3,2,4,2,No,2,16,13,1,6,74096.82,Low,No,Staying,No
814,56,Female,Married,Human Resources,Senior Analyst,Bachelors,Technical Degree,50,Travel Rarely,4,1,1,1,1,Yes,7,6,3,1,1,148775.65,Very High,No,Staying,Yes
815,36,Female,Married,Human Resources,Junior Associate,High School,Business Management,50,Travel Frequently,3,4,2,2,1,No,0,8,8,8,13,99673.86,High,No,Staying,Yes
816,59,Female,Married,Finance,Lead,Associate,Medical,63,Travel Frequently,1,2,4,1,4,No,1,19,12,5,29,41723.57,Medium,No,Staying,No
817,41,Other,Single,Sales,Junior Associate,Masters,Technical Degree,10,Travel Frequently,2,3,3,4,2,No,1,22,14,0,24,53328.06,Low,No,Staying,No
818,32,Other,Married,R&D,Senior Analyst,High School,Medical,2,Travel Rarely,3,3,3,2,2,No,0,1,1,1,25,117774.21,Medium,No,Staying,No
819,32,Female,Divorced,Sales,Junior Associate,High School,Technical Degree,51,Non-Travel,1,3,4,4,1,No,6,13,6,1,16,84337.35,Low,No,Staying,No
820,40,Other,Divorced,Human Resources,Senior Analyst,PhD,Marketing,74,Non-Travel,3,3,3,2,4,No,8,20,14,3,29,54278.59,Very High,No,Staying,No
821,51,Male,Divorced,Technology,Senior Analyst,Associate,Life Sciences,70,Non-Travel,4,1,4,4,4,No,2,18,14,7,18,48566.27,Very High,No,Staying,No
822,36,Male,Married,Operations,VP,PhD,Medical,60,Travel Rarely,1,4,2,1,3,Yes,8,25,7,4,21,123174.55,High,No,Staying,Yes
823,27,Female,Married,Operations,Executive,PhD,Other,10,Non-Travel,1,2,2,1,2,No,4,4,4,3,2,127460.78,Very High,No,Staying,No
824,44,Other,Single,Sales,Senior Analyst,High School,Marketing,37,Travel Rarely,1,1,2,2,3,Yes,7,15,13,8,37,145996.68,High,No,Staying,No
825,30,Male,Single,R&D,VP,PhD,Medical,13,Non-Travel,4,4,2,3,1,No,1,25,9,4,14,83160.58,Medium,No,Staying,Yes
826,43,Other,Married,Marketing,Lead,High School,Marketing,55,Travel Frequently,2,3,3,4,1,No,8,0,0,0,26,81472.6,Very High,No,Staying,Yes
827,23,Male,Divorced,Finance,Junior Associate,Masters,Marketing,72,Travel Frequently,1,3,4,2,3,Yes,0,24,14,6,30,63848.89,Medium,Yes,Leaving,Yes
828,51,Female,Single,R&D,Lead,PhD,Human Resources,40,Non-Travel,4,1,3,1,1,No,3,10,9,6,20,98261.23,Very High,No,Staying,Yes
829,38,Other,Single,Operations,Senior Analyst,High School,Human Resources,72,Non-Travel,1,1,3,3,4,No,3,8,3,0,19,76683.63,Medium,No,Staying,Yes
830,48,Other,Single,R&D,Manager,High School,Technical Degree,38,Non-Travel,3,3,3,1,1,Yes,3,5,5,0,0,79188.13,Very High,No,Staying,No
831,24,Male,Divorced,Operations,Analyst,Associate,Other,50,Travel Rarely,2,4,1,4,4,No,6,20,0,4,19,71156.86,Low,No,Staying,Yes
832,38,Other,Single,Operations,Specialist,Associate,Life Sciences,56,Travel Frequently,2,4,4,1,2,No,4,18,9,2,40,37423.46,High,Yes,Leaving,Yes
833,41,Female,Single,Human Resources,Analyst,Masters,Business Management,62,Non-Travel,1,2,1,1,2,No,7,28,1,7,2,34214.38,High,No,Staying,Yes
834,22,Female,Single,Sales,Director,Associate,Other,28,Travel Frequently,1,1,3,3,3,Yes,0,24,0,7,1,48464.43,Medium,No,Staying,No
835,43,Female,Single,Human Resources,Junior Associate,PhD,Marketing,54,Travel Rarely,3,4,4,4,2,Yes,0,2,2,2,26,73325.99,Medium,No,Staying,No
836,48,Male,Single,Marketing,Junior Associate,Associate,Marketing,17,Non-Travel,4,3,3,2,3,No,1,15,2,5,8,73731.7,Very High,Yes,Leaving,No
837,27,Other,Single,Technology,Lead,Bachelors,Technical Degree,55,Non-Travel,3,3,2,4,4,No,2,25,12,4,34,135941.14,Medium,No,Staying,No
838,33,Other,Divorced,Technology,Junior Associate,Associate,Medical,61,Travel Rarely,2,1,2,2,3,No,2,7,4,7,34,49327.74,Low,Yes,Leaving,No
839,51,Other,Single,Operations,Senior Analyst,PhD,Marketing,70,Travel Rarely,3,1,2,1,3,No,0,11,5,7,37,33824.54,High,No,Staying,No
840,25,Male,Divorced,Legal,Lead,Bachelors,Marketing,72,Non-Travel,2,2,3,1,4,No,6,16,13,5,24,100313.66,High,Yes,Leaving,No
841,60,Other,Married,R&D,Specialist,PhD,Business Management,24,Travel Frequently,2,1,2,3,4,No,1,23,12,4,23,121451.78,Low,No,Staying,No
842,37,Male,Divorced,Operations,Associate,Bachelors,Business Management,78,Travel Frequently,3,4,1,3,4,Yes,5,30,13,3,7,110354.62,Medium,Yes,Leaving,No
843,46,Female,Divorced,Operations,Junior Associate,High School,Life Sciences,44,Travel Rarely,4,1,2,2,1,No,8,30,3,2,9,50910.15,Low,No,Staying,No
844,43,Male,Divorced,Operations,VP,Bachelors,Human Resources,18,Travel Frequently,2,2,2,4,4,Yes,3,5,5,5,8,32471.93,Very High,No,Staying,No
845,24,Other,Single,Sales,Analyst,Associate,Human Resources,63,Travel Rarely,4,3,1,4,2,No,7,8,8,7,4,81896.55,Very High,No,Staying,No
846,43,Male,Married,Legal,Executive,Bachelors,Medical,3,Non-Travel,3,4,3,1,4,No,5,12,12,7,28,49056.91,Medium,No,Staying,No
847,47,Female,Married,Sales,Specialist,Associate,Business Management,36,Travel Rarely,1,1,4,1,4,Yes,1,30,10,6,13,140255.82,Very High,No,Staying,No
848,39,Female,Single,Human Resources,Director,Bachelors,Business Management,41,Travel Frequently,4,2,2,2,1,No,6,21,11,6,40,107428.67,Low,No,Staying,Yes
849,54,Male,Married,Finance,Senior Analyst,Associate,Other,74,Non-Travel,4,1,1,4,3,Yes,7,10,7,5,39,45463.07,High,No,Staying,No
850,44,Female,Married,Finance,Director,Associate,Technical Degree,36,Travel Frequently,3,2,1,4,3,Yes,2,9,9,6,11,140638.67,Very High,No,Staying,No
851,58,Male,Single,Technology,Executive,PhD,Medical,17,Travel Frequently,2,2,4,1,1,No,1,16,15,7,3,73326.01,Very High,Yes,Leaving,No
852,37,Other,Single,Legal,Senior Analyst,Masters,Business Management,44,Travel Rarely,4,2,2,1,4,Yes,3,28,11,2,7,141432.74,Medium,Yes,Leaving,No
853,31,Male,Divorced,Technology,Director,PhD,Life Sciences,75,Travel Frequently,4,1,1,4,3,Yes,4,0,0,0,28,133811.14,Low,No,Staying,No
854,40,Other,Married,Legal,Executive,Associate,Other,50,Travel Rarely,2,3,4,1,2,No,6,19,14,8,26,70112.55,Very High,No,Staying,Yes
855,54,Other,Married,Technology,Manager,PhD,Business Management,51,Travel Rarely,1,1,3,1,1,No,0,30,12,1,9,139308.56,High,No,Staying,Yes
856,26,Female,Single,Finance,Specialist,Masters,Marketing,10,Travel Frequently,4,2,3,2,1,No,1,2,2,2,12,96469.82,Very High,No,Staying,No
857,50,Female,Married,Human Resources,Executive,Masters,Human Resources,24,Non-Travel,1,3,3,4,1,Yes,7,4,4,2,9,83060.36,Very High,No,Staying,No
858,37,Male,Divorced,R&D,Director,PhD,Marketing,28,Non-Travel,4,4,2,1,1,No,6,21,7,4,24,56962.3,Very High,No,Staying,Yes
859,50,Male,Married,Operations,Director,PhD,Medical,59,Travel Rarely,3,3,4,4,2,No,7,5,5,2,28,51351.42,High,No,Staying,Yes
860,23,Female,Divorced,Operations,Specialist,PhD,Other,35,Travel Frequently,4,4,4,1,1,No,8,18,6,3,8,143323.41,High,No,Staying,No
861,35,Male,Married,Operations,Senior Analyst,Associate,Technical Degree,72,Non-Travel,3,3,2,3,4,Yes,0,3,3,3,35,123018.18,Very High,No,Staying,No
862,34,Male,Married,Sales,VP,High School,Marketing,8,Travel Frequently,3,3,4,2,3,Yes,1,30,2,5,15,55714.79,Medium,No,Staying,No
863,40,Other,Divorced,Human Resources,Lead,Bachelors,Life Sciences,57,Non-Travel,4,2,4,3,1,No,5,2,2,0,5,75813.95,Low,No,Staying,Yes
864,30,Female,Married,Finance,Director,High School,Medical,65,Travel Rarely,1,4,2,1,4,Yes,7,5,2,5,8,145545.43,High,No,Staying,No
865,57,Other,Single,Legal,Executive,Bachelors,Medical,65,Travel Frequently,4,4,1,1,3,No,3,16,0,4,29,54018.34,Medium,Yes,Leaving,No
866,34,Female,Married,Human Resources,Specialist,Bachelors,Business Management,57,Non-Travel,4,1,1,2,4,No,2,15,5,2,17,46560.36,Medium,No,Staying,No
867,39,Other,Married,Marketing,VP,High School,Life Sciences,48,Travel Frequently,2,2,4,3,4,No,4,25,9,3,22,138964.29,Medium,Yes,Leaving,Yes
868,24,Female,Single,Legal,Junior Associate,Masters,Medical,25,Travel Rarely,2,4,1,3,1,Yes,5,3,3,1,6,121544.96,Low,Yes,Leaving,Yes
869,22,Male,Single,Marketing,Senior Analyst,Bachelors,Other,42,Travel Rarely,3,1,2,3,3,Yes,3,4,0,4,39,138769.69,High,Yes,Leaving,No
870,33,Male,Divorced,Operations,Junior Associate,Bachelors,Human Resources,54,Non-Travel,3,3,4,4,1,Yes,2,22,5,2,21,105388.59,Very High,No,Staying,No
871,46,Female,Divorced,Technology,Manager,Masters,Business Management,60,Non-Travel,3,3,1,1,3,Yes,0,13,6,1,13,137619.04,Low,No,Staying,No
872,55,Other,Married,Legal,Executive,High School,Technical Degree,48,Travel Frequently,2,3,4,1,1,Yes,0,26,10,3,11,43630.96,High,No,Staying,No
873,25,Other,Single,Finance,Director,PhD,Marketing,63,Travel Frequently,2,1,3,3,3,No,2,0,0,0,26,93625.36,Medium,Yes,Leaving,No
874,46,Other,Married,Human Resources,Associate,Masters,Human Resources,32,Non-Travel,4,2,2,3,1,No,1,16,11,8,5,102567.49,Medium,No,Staying,Yes
875,54,Female,Married,Operations,Senior Analyst,High School,Technical Degree,62,Travel Frequently,4,1,2,2,4,No,0,6,6,5,36,37647.07,Very High,Yes,Leaving,Yes
876,31,Male,Single,Marketing,Manager,High School,Medical,68,Non-Travel,4,4,2,4,4,Yes,4,18,10,6,22,135237.32,Medium,No,Staying,No
877,25,Male,Divorced,Operations,Analyst,Masters,Other,20,Non-Travel,1,3,3,4,2,No,4,13,12,7,28,73804.03,High,No,Staying,No
878,48,Female,Single,Sales,Executive,PhD,Human Resources,57,Non-Travel,1,2,4,2,4,Yes,8,18,5,2,21,60692.42,High,Yes,Leaving,No
879,33,Female,Divorced,Finance,Senior Analyst,Masters,Other,22,Non-Travel,4,4,2,3,4,Yes,8,6,1,6,36,108497.21,Low,No,Staying,No
880,60,Male,Married,Human Resources,VP,Bachelors,Other,9,Travel Frequently,4,2,1,2,2,No,5,3,0,3,33,130310.63,Low,No,Staying,No
881,41,Other,Divorced,Operations,Director,High School,Human Resources,34,Non-Travel,1,1,2,1,4,No,7,5,5,5,31,126012.98,Medium,Yes,Leaving,No
882,34,Other,Single,Sales,Associate,High School,Human Resources,70,Travel Frequently,3,3,4,4,1,No,1,18,3,5,38,87955.97,Low,Yes,Leaving,No
883,29,Female,Single,Operations,Analyst,Bachelors,Human Resources,56,Non-Travel,3,3,4,3,1,Yes,8,20,3,0,5,78791.04,Medium,No,Staying,No
884,59,Male,Divorced,Legal,Lead,High School,Human Resources,18,Travel Rarely,3,3,4,3,1,Yes,4,8,2,3,11,37759.72,Low,No,Staying,No
885,60,Female,Married,Technology,Executive,Bachelors,Human Resources,57,Non-Travel,4,1,4,1,2,No,0,24,0,7,34,77799.54,Medium,No,Staying,Yes
886,53,Other,Married,Operations,Junior Associate,Bachelors,Other,51,Travel Rarely,2,2,1,4,4,Yes,6,10,4,6,27,122968.43,Low,No,Staying,No
887,45,Male,Married,Technology,Junior Associate,Bachelors,Business Management,40,Travel Frequently,2,2,4,3,2,No,1,28,3,4,5,73623.92,Low,No,Staying,Yes
888,52,Other,Divorced,Technology,Associate,PhD,Technical Degree,26,Travel Rarely,1,1,1,4,4,No,1,29,4,3,21,122740.98,Low,Yes,Leaving,No
889,30,Male,Divorced,R&D,Executive,PhD,Medical,12,Travel Rarely,3,4,2,1,1,No,4,18,13,4,40,41653.34,High,No,Staying,No
890,42,Male,Divorced,Sales,Executive,Bachelors,Business Management,11,Travel Rarely,4,1,2,2,1,Yes,4,1,0,1,9,127463.32,High,No,Staying,Yes
891,30,Female,Single,Finance,Manager,Associate,Human Resources,51,Non-Travel,2,2,3,2,4,No,6,1,1,1,13,51270.95,Very High,No,Staying,No
892,35,Other,Divorced,Human Resources,Junior Associate,PhD,Technical Degree,25,Non-Travel,1,3,4,3,4,No,6,27,15,5,6,97254.21,High,No,Staying,Yes
893,32,Female,Married,R&D,Manager,High School,Other,9,Travel Rarely,1,2,3,4,1,Yes,7,11,11,8,29,59244.04,Very High,No,Staying,No
894,30,Female,Married,Operations,Associate,Bachelors,Life Sciences,44,Non-Travel,4,4,3,4,3,No,1,17,3,4,8,71133.6,Very High,No,Staying,No
895,44,Other,Married,R&D,Junior Associate,Bachelors,Business Management,30,Travel Rarely,2,4,4,3,1,No,8,22,0,1,22,113505.51,Very High,Yes,Leaving,Yes
896,35,Female,Married,Legal,Specialist,Bachelors,Other,46,Non-Travel,3,2,3,2,1,Yes,3,10,2,2,15,84520.0,High,No,Staying,Yes
897,29,Male,Divorced,Human Resources,Junior Associate,Associate,Medical,46,Non-Travel,1,2,1,3,2,Yes,4,16,13,5,8,35150.2,Very High,No,Staying,Yes
898,37,Male,Single,Finance,Analyst,Associate,Human Resources,74,Travel Rarely,1,2,4,4,2,No,0,26,0,3,30,56216.91,Low,Yes,Leaving,Yes
899,24,Male,Divorced,Finance,Executive,Masters,Medical,43,Non-Travel,4,1,1,1,2,No,0,20,3,3,2,121208.92,Very High,No,Staying,No
900,48,Other,Single,Sales,Director,High School,Life Sciences,74,Travel Rarely,4,2,1,4,4,No,3,25,8,5,37,136817.12,Medium,No,Staying,No
901,44,Female,Single,Technology,Junior Associate,PhD,Business Management,27,Non-Travel,2,2,3,3,1,Yes,0,3,3,3,27,51595.86,Medium,No,Staying,No
902,54,Female,Married,Marketing,Executive,PhD,Medical,44,Travel Frequently,4,2,1,4,3,Yes,2,23,1,2,28,46633.57,Low,No,Staying,No
903,38,Male,Single,R&D,VP,Associate,Medical,32,Travel Rarely,4,1,1,1,3,Yes,2,16,12,6,27,74504.76,Medium,No,Staying,No
904,31,Female,Divorced,Human Resources,Analyst,Associate,Medical,50,Non-Travel,2,3,3,4,4,Yes,5,29,8,5,33,131877.3,Very High,No,Staying,No
905,23,Female,Single,Operations,Associate,Associate,Life Sciences,17,Travel Rarely,2,4,2,3,1,Yes,3,21,12,6,12,111476.9,Very High,No,Staying,Yes
906,33,Other,Single,R&D,VP,High School,Marketing,32,Travel Frequently,4,4,4,3,4,Yes,5,11,10,1,24,81203.99,Very High,Yes,Leaving,No
907,26,Other,Single,Technology,Executive,Masters,Business Management,40,Travel Rarely,1,1,1,4,2,No,1,6,6,6,36,113111.13,Low,No,Staying,No
908,60,Female,Married,Marketing,Associate,High School,Medical,40,Non-Travel,3,3,1,3,3,No,1,19,0,1,8,117112.68,Very High,No,Staying,No
909,41,Male,Married,Sales,Associate,Bachelors,Marketing,80,Non-Travel,2,1,2,4,4,Yes,8,13,8,7,24,127266.3,Medium,No,Staying,No
910,35,Female,Single,R&D,Manager,PhD,Other,71,Travel Frequently,1,4,3,4,4,Yes,5,3,3,0,17,129304.04,Medium,No,Staying,No
911,56,Other,Divorced,Finance,Associate,Bachelors,Business Management,47,Travel Rarely,2,4,4,1,4,No,4,18,15,8,26,125426.32,Medium,No,Staying,No
912,41,Male,Divorced,Human Resources,Lead,High School,Human Resources,28,Non-Travel,1,2,4,3,1,Yes,7,9,9,6,30,37053.79,Low,No,Staying,Yes
913,51,Male,Single,Sales,Analyst,PhD,Human Resources,26,Non-Travel,4,4,1,3,2,Yes,8,30,6,7,38,136361.01,Low,Yes,Leaving,Yes
914,31,Male,Single,Technology,Executive,Masters,Marketing,72,Travel Rarely,4,2,2,4,3,Yes,0,9,9,2,19,121796.93,Very High,No,Staying,No
915,44,Male,Divorced,Technology,Director,Masters,Marketing,73,Travel Frequently,4,2,1,2,2,No,6,25,4,6,2,129839.59,Low,No,Staying,No
916,24,Other,Single,Operations,Senior Analyst,Masters,Medical,6,Non-Travel,4,4,2,4,1,No,6,16,3,1,29,63811.29,Very High,No,Staying,No
917,41,Male,Married,R&D,VP,Bachelors,Business Management,60,Travel Frequently,1,3,3,1,1,Yes,0,4,4,4,8,120448.63,High,No,Staying,Yes
918,59,Female,Single,Legal,Manager,High School,Life Sciences,9,Travel Frequently,2,1,3,3,4,No,7,6,6,2,1,77084.01,Very High,No,Staying,Yes
919,28,Male,Single,Finance,Junior Associate,Bachelors,Business Management,45,Travel Frequently,1,2,1,3,2,Yes,7,16,6,0,10,125794.74,Low,No,Staying,No
920,49,Male,Single,Finance,Director,High School,Medical,33,Non-Travel,1,1,1,4,1,No,7,6,6,1,28,73853.36,Medium,No,Staying,No
